Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
Dyson Supurge,Instagram (Simulated),insta_user_3702,😍 Xiaomi G11 kullanıyoruz. Çekim gücü çok iyi. #unboxing,80,2024-01-05T22:03:47Z,xiao kullanıyoruz çek gücü iyi unboxing,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_73808,@Webtekno İPhone 13 kullanıyorum iki yıldır s24 e geçince sorun olur mu ?,67,2024-12-12T11:20:21Z,webtekno iphone kullanıyorum iki yıldır geçince sor olur,-1.0,Olumsuz,0
AirPods Pro,Twitter (Simulated),@user_13363,@TeknoMarket Abi telefonuma birşey oldu çok aşırı hızlı çalışmaya başladı ve bu yüzden pil sağlığı düştü. neden olmuştur,100,2020-01-27T06:33:32Z,teknomarket abi telefonuma birşey oldu aşırı hızlı çalışmaya başladı yüz pil sağlığı düştü neden olmuştur,1.0,Olumlu,1
Dyson Supurge,YouTube,@emrecaglaryildiz,"Samsung jet serisi en güzel fiyat performans ürünü. Tavsiye ederim. ben jet 75 modelini yılbaşında aldım, 7bine inanılmaz kaliteli ve güçlü. Samsung dandik ürün yapmaz.",2,2024-01-06T10:06:05Z,samsung jet serisi güzel fiyat performans ürünü tavsiye eder jet modelini yılbaşında aldım bine inanılmaz kaliteli güçlü samsung dandik ürün yapmaz,1.0,Olumlu,1
Dyson Supurge,YouTube,@suleymangenc3862,Sakın dyson markasına bulaşmayın paranızın hakkını alamıyorsunuz. V15 7.ayında papatya kısımlarından hava kaçırmaya başladı. Servis değişmesi gerekiyor diyor. Fakat ellerinde stok olmadığı için aldığım yerde yeni fiyatı 36 bin iken bana 20 bin lira gibi komik bir ücret teklif ediyor. Kendi sitelerinde fiyatı 24 bin orada da stok hiç olmuyor. Yani cihazı tamir ve değişim yapmadan size geri gönderiyorlar. Konu ile alakalı hiçbir yetkili muhatap yok. Arayanların hepsi dosya doldurmaktan başka yetkileri olmayan insanlar.,5,2024-01-29T09:06:17Z,sakın dyson markasına bulaşmayın paranızın hakkını alamıyorsunuz ayında papatya kısımların hava kaçırmaya başladı servis değişmesi gerekiyor diyor ellerinde stok olmadığı aldığım yerde yeni fiyatı bin iken bin lira komik ücret teklif ediyor kendi sitelerinde fiyatı bin orada stok hiç olmuyor yani cihazı tamir değiş yapma size geri gönderiyor konu alakalı hiçbir yetkili muhatap arayanların hepsi dosya doldurmaktan başka yetkileri olmayan insan,-1.0,Olumsuz,0
Samsung S24,Instagram (Simulated),insta_user_9191,🤔 Yorumlarda bahsi geçen ısınma ne kadar ısınıyo telefon illa ısınır da çok mu sıcaklasıyo #unboxing,7,2025-08-30T21:46:06Z,yorumlarda bahsi geçen ısınma ısınıyo telefon illa ısınır sıcaklasıyo unboxing,-1.0,Olumsuz,0
AirPods Pro,Instagram (Simulated),insta_user_4826,👏 yemin ederim fuzuli bilgiler hiç fuzili değil mükemmel detay #fiyatperformans,206,2020-04-01T18:00:16Z,yemin eder fuzuli bilgi hiç fuzili değil mükemmel detay fiyatperformans,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_4370,"💩 Hocam geçen gün cihazı üst üste sıfırlarsak ürün adına bir sorun yaratır mı diye soru sormuştum, ... #inceleme",199,2023-10-06T19:38:07Z,hocam geçen gün cihazı üst üste sıfırlarsak ürün adına sor yaratır soru sormuştum inceleme,-1.0,Olumsuz,0
AirPods Pro,YouTube,@drone_ile_geziyorum,"kulaklığın uç kısmı kısa olduğu için o kısımdan sıkıp işlem yapmak daha zor ve rahatsız edici, dokunmatik kısmı kalsaydı daha iyi olurdu.",1,2021-02-16T06:43:10Z,kulaklığın kıs kısa olduğu kısım sıkıp işlem yapmak zor rahatsız edici dokunmatik kıs kalsaydı iyi olurdu,1.0,Olumlu,1
iPhone 15,YouTube,@ekremkeser-lu7wu,"Apple 50 bin liraya verdiği özellikleri benim SAMSUNGum 10 bin liraya fazlasıyla vermiş oluyor.
NEDEN AYNI ÖZELLİKLERE FAZLA GEREKSİZ PERA VEREYİM Kİ?",0,2025-10-27T06:10:37Z,apple bin liraya verdiği özellikleri ben samsungum bin liraya fazlasıyla vermiş oluyor neden ayni özelliklere fazla gereksiz pera verey,-1.0,Olumsuz,0
Dyson Supurge,Instagram (Simulated),insta_user_6916,🙌 Evet görüntüdeki ilk başlık en ince tozları çekiyor baya iyi bir başlık. Yıllardır eşim isterdi e... #alisveris,94,2024-11-12T08:36:56Z,evet görüntüdeki ilk başlık ince tozları çekiyor baya iyi başlık yıllardır eşim isterdi alisveris,1.0,Olumlu,1
AirPods Pro,YouTube,@umitbalci5074,Abi selam aynısından aldım ama konuşmamda net anlaşılamıyorum orda ayarları var 3 tane dış ses iç ses vy kapalı gibi hangisinde kullanmalıyım abi,0,2021-04-08T17:24:10Z,abi selam aynısın aldım konuşmamda net anlaşılamıyorum orda ayarları tane dış ses ses kapalı hangisinde kullanmalıyım abi,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_8196,🙌 Bu videolar yüzünden hiçbirşeyden memnun olmaz oldum herşeyde bi kusur #tech,181,2020-01-27T10:13:32Z,video yüzün hiçbirşey memn olmaz oldum herşeyde kusur tech,1.0,Olumlu,1
AirPods Pro,YouTube,@burakyurtoren,"Gerçekten çok başarılı inceleme. Her zamanki gibi objektif cidden umarım böyle devam edersiniz. Ben note 10 ile birlikte airpods 2 kullanıyorum. Açıkcası bunun fiyatı bana absürt geliyor. yani cidden o fiyata değmez. Bende sizin gibi silikon kulak içini sevmiyorum. galaxy buds almıştım ama cidden beni boğuyor, hele yapışıyor hissi veriyor. Apple kulaklklarını cidden seviyorum. Arabada sorun olmasada otobüs, metro gibi yerlerde hem ses seviyesi düşük kalıyor hemde sesten müziği duyamıyorum. sesini açsam başım ağrıyor gidip kulaküstü almayı düşünüyorum sadece o zamanlar için. Merak ettim başta acaba nasıl yorum yapıcaksınız diye. Gerçekten objektif ve güzel bir inceleme oldu her zamanki gibi. Cidden uzun zamandır takip ettiğim ve izlerken kendimden geçtiğim  insanlardan birisiniz. başarılarınızın devamını diliyorum.  Umarım bizi bu şekilde güzel incelemelerinizden mahrum bırakmazsınız :)",0,2020-01-25T23:05:23Z,gerçekten başarılı inceleme her zamanki objektif cid umarım devam eder note birlikte airpods kullanıyorum açıkcası bun fiyatı absürt geliyor yani cid fiyata değmez bende sizin silikon kulak içini sevmiyorum galaxy buds almıştım cid beni boğuyor hele yapışıyor hissi veriyor apple kulaklklarını cid seviyorum arabada sor olmasada otobüs metro yerlerde hem ses seviyesi düşük kalıyor hemde sesten müziği duyamıyorum sesini açsam başım ağrıyor gidip kulaküstü almayı düşünüyorum sadece zaman merak ett başta acaba nasıl yorum yapıcaksınız gerçekten objektif güzel inceleme oldu her zamanki cid uzun zamandır takip ettiğ izlerken kendim geçtiğ insanlar biri başarılarınızın devamını diliyorum umarım bizi şekilde güzel incelemeleriniz mahrum bırakmazsınız,0.2,Olumlu,1
iPhone 15,Twitter (Simulated),@user_14287, merhaba 15in kamerası hakkında çok kötü eleştiriler var sizce öbür modellerden bir farkı kötü bir yanı var mı kamerasının?,76,2024-10-27T12:48:37Z,merhaba kamerası hakkında kötü eleştiri sizce öbür modeller farkı kötü yanı kamerası,-1.0,Olumsuz,0
Samsung S24,YouTube,@darkyt8503,Abi Samsung m15 in 4 ram olması herhangi bir sorun yaratırmı?,1,2024-07-13T17:05:23Z,abi samsung ram olması herhangi sor yaratır,-1.0,Olumsuz,0
iPhone 15,Instagram (Simulated),insta_user_5028,"🙌 Ana kamera da video ve fotoğraf kalitesinde 13 pro 15'ten iyi mi, şaka değil dimi bu #unboxing",244,2025-02-27T07:16:03Z,ana kamera video fotoğraf kalitesinde pro ten iyi şaka değil dimi unboxing,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_6232,🔥 Merhaba ben 2. El AirPods pro aldim. Hersey harika ama muzik esnasinda dud dud diye ses geliyor a... #fiyatperformans,184,2020-05-27T20:50:05Z,merhaba airpods pro ald hersey harika muzik esnasinda dud dud ses geliyor fiyatperformans,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_90288," merhaba :’ yine size böyle yorumda sorarak hem saat hem de kulaklık almıştım. şimdi de başka bir soru sormak istiyorum. iphone 15 plus mu yoksa iphone 15 pro mu almalıyım? iphone 15 plus özellikle boyutu ve bataryasıyla ilgimi çekiyor, pro ise hem görüntüsünü çok sevdim hem de...",48,2024-04-29T21:50:30Z,merhaba size yorumda sorarak hem saat hem kulaklık almıştım şimdi başka soru sormak istiyorum iphone plus yoksa iphone pro almalıyım iphone plus özellikle boyutu bataryasıyla ilgi çekiyor pro ise hem görüntüsünü sevd hem,1.0,Olumlu,1
Dyson Supurge,YouTube,@suleymangenc3862,Sakın almayın servis garantisi berbat. Ürün değişimi için ellerinde stok yok. Para iadesinide aldığınız eski fiyattan yapıyorlar. Ayrıca kendilerininde kabul ettiği gibi 2. Kalite plastik kullanıyorlar. Evet güzel çekiyor ama ömrü 6 ay gibi bir sürede bitiyor. Serviste üst model gönderimi yapmıyorlar. Konu ile ilgili muhatap bulunmuyor.,0,2024-01-26T09:54:05Z,sakın almayın servis garantisi berbat ürün değişi ellerinde stok para iadesinide aldığınız eski fiyattan yapıyor ayrıca kendilerininde kabul ettiği kalite plastik kullanıyor evet güzel çekiyor ömrü sürede bitiyor serviste üst model gönderi yapmıyor konu ilgili muhatap bulunmuyor,-0.3333333333333333,Olumsuz,0
AirPods Pro,Twitter (Simulated),@user_47951, A dan Z ye bütün İncelemelerin çok iyi 👍🏻,33,2020-01-25T19:45:42Z,dan büt incelemelerin iyi,1.0,Olumlu,1
iPhone 15,YouTube,@kursad_cakir,"işin hakkını veren , vatandaşın gözden kaçırdıkkarını öne çıkaran iyi bir arkadaş , seviliyorsun",0,2025-07-07T04:10:24Z,işin hakkını veren vatandaşın göz kaçırdıkkarını öne çıkaran iyi arkadaş seviliyors,1.0,Olumlu,1
AirPods Pro,YouTube,@aliteksin,Ben gayet memnunum alışmak biraz zaman aldı gürültü engelleme çok iyi,1,2020-01-25T18:38:35Z,gayet memnunum alışmak biraz zaman aldı gürültü engelleme iyi,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_73450, anneme aldık 11 kullanıyordu ve ekran hassasiyetinden memnun değildi. şu anlık en çok ekran dikkatimi çekti (dinamik ada zaten çok iyi ama o zaten 14 pro da var). yani kısaca ekran müthiş olmuş. bende elimdekini 15 pro ya yenilemeyi düşünüyordum ama şu anlık 15 pro düz 15 kada...,48,2023-11-23T20:20:26Z,anneme aldık kullanıyordu ekran hassasiyetin memn değildi anlık ekran dikkati çekti dinamik ada zaten iyi zaten pro yani kısaca ekran müthiş olmuş bende elimdekini pro yenilemeyi düşünüyordum anlık pro düz kada,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_1588,"😍 İzlemeden like 👍. 
Çünkü adam başarılı. #fiyatperformans",347,2020-01-25T16:01:43Z,izleme like çünkü adam başarılı fiyatperformans,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_57944,@SamsungTurkiye Kulaklık 10 numara kulaklık hiç düşünmeden alın derim ama tek ve en büyük eksiği kulağınızdan düşmesi her boyutunu denedim silikonlarının yine de kulağınızdan cok kolay şekilde düşebiliyor 1. nesil kullanmıstım onda hiç böyle bir sorun görmemiştim,49,2021-02-20T16:56:13Z,samsungturkiye kulaklık numara kulaklık hiç düşünme alın der tek büyük eksiği kulağınız düşmesi her boyutunu dened silikonları kulağınız cok kolay şekilde düşebiliyor nesil kullanmıstım onda hiç sor görmemişt,-1.0,Olumsuz,0
AirPods Pro,Twitter (Simulated),@user_99310,@TeknoMarket Apple bu yakın çekimler için para ödemesi gerekiyor reklamlarından daha kaliteli,75,2020-01-25T23:02:33Z,teknomarket apple yakın çekim para ödemesi gerekiyor reklamların kaliteli,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_28621, Samsungda kulanisi kaliteli etmek icin onerdiginiz bir uygulama varmi?,94,2020-11-18T16:11:48Z,samsungda kulanisi kaliteli etmek icin onerdiginiz uygulama var,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_94446,"@SamsungTurkiye Bende daysın 12 var geçenyıl durduk  yere halı süprme başlığı bozuldu  , bir servisle irtbat kurdum  başlığı eve getirdi  ve7500 liramı alıp gitti bayağı zoruma gitti, bütuparçaları çok pahalı sürdürebilirliği yok , siz biaz  kullanında ben sizi o zaman göreyim🫩",39,2025-11-10T17:10:47Z,samsungturkiye bende daysın geçenyıl durduk yere halı süprme başlığı bozuldu servisle irtbat kurdum başlığı eve getirdi lira alıp gitti bayağı zoruma gitti bütuparçaları pahalı sürdürebilirliği biaz kullanında sizi zaman görey,-1.0,Olumsuz,0
iPhone 15,Instagram (Simulated),insta_user_1963,🤔 Ben bugun aldım mükemmell 60 hz falan kesinlikle sıkıntı çıkarmıyor aşırı akıcı zaten kesinlikle ... #alisveris,197,2024-06-12T20:44:57Z,bug aldım mükemmell falan kesinlikle sıkıntı çıkarmıyor aşırı akıcı zaten kesinlikle alisveris,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_6644,💸 merhaba 15in kamerası hakkında çok kötü eleştiriler var sizce öbür modellerden bir farkı kötü bir... #unboxing,82,2024-10-27T12:48:37Z,merhaba kamerası hakkında kötü eleştiri sizce öbür modeller farkı kötü unboxing,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_52152," Merhabalar 13, 14 plus ve 15 arasında kaldım hocam benim için kamera, video kalitesi çok çok önemli bu ürünlerden hangisini almam gerekli şarj da iyi gitmeli?",74,2024-03-06T18:57:34Z,merhaba plus arasında kaldım hocam ben kamera video kalitesi önemli ürünler hangisini almam gerekli şarj iyi gitmeli,1.0,Olumlu,1
Dyson Supurge,YouTube,@elmassancak7473,"Mercan bey bu güzel video içini teşekkür ederim,bir sorum olacaktı dysonın tuttuğunuz büyük motor kısmı ağır mı sizce? Bir arkadaşım ağır olduğunu söylemişti onun için ikilemde kaldım",3,2024-02-25T14:46:52Z,mercan bey güzel video içini teşekkür ederimbir sorum olacaktı dyso tuttuğunuz büyük motor kıs ağır sizce arkadaşım ağır olduğunu söylemişti onun ikilemde kaldım,1.0,Olumlu,1
AirPods Pro,YouTube,@tunazenginel2057,Güzel bir video daha,2,2020-01-25T16:35:50Z,güzel video,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_63683, tabi ki almaya değer. ben söylemiş olayım. mükemmel bir kulaklık. öğrenci indirimiyle alabilmiştim orası ayrı,64,2020-12-20T12:13:09Z,tabi almaya değer söylemiş olayım mükemmel kulaklık öğrenci indirimiyle alabilmişt orası ayrı,1.0,Olumlu,1
AirPods Pro,YouTube,@umutyldz5194,Abi montajları çok iyi yapmışsın bi inceleme videosu olsa bile çok akıcı 🧡,2,2020-01-25T21:44:20Z,abi montajları iyi yapmışsın inceleme videosu olsa bile akıcı,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_5075,💸 valla izlemeden like atım çok iyisin çok iyi anlatıyorsun helal valla samimiyim #tech,48,2020-01-25T16:15:07Z,valla izleme like atım iyi iyi anlatıyors helal valla samimiy tech,1.0,Olumlu,1
Samsung S24,YouTube,@cevathalitkoksal3693,Hocam merhaba. ACİL YARDIMINIZA İHTİYACIM VAR. Telefonu 3 gündür kullanıyorum ve oyun oynamıyorum. Günlük sık kullanıyorum video izlerken bile fırın gibi oluyor ve dokunulmuyor. Zamanla geçer mi acil cevap verirsen fok mutlu olurum ona gore iade etmeye çalışacağım. Performansında sorun yok da isinmasi dehşet @ozan.sasmaz,0,2025-08-31T10:16:45Z,hocam merhaba acil yardiminiza ihtiyac telefonu gündür kullanıyorum oyun oynamıyorum günlük sık kullanıyorum video izlerken bile fırın oluyor dokunulmuyor zamanla geçer acil cevap verirsen fok mutlu olurum ona gore iade etmeye çalışacağım performansında sor isinmasi dehşet ozansasmaz,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_49238,@AppleDestek Anlatımınız için teşekkür ederim. Ben 15 almak istiyorum. Günlük kullanımda kaç yıl kullanabilirim?,59,2024-06-01T20:30:42Z,appledestek anlatımınız teşekkür eder almak istiyorum günlük kullanımda kaç yıl kullanabilir,1.0,Olumlu,1
Samsung S24,YouTube,@mehmetbokurt7085,Poco f6 pro alırım daha iyi samsung ekranları ufak,0,2024-09-29T12:39:25Z,poco pro alırım iyi samsung ekranları ufak,1.0,Olumlu,1
AirPods Pro,YouTube,@MrCetinerel,Emeğinize sağlık bir iki ekleme yapmak istiyorum / önceki versiyona göre telefon görüşmesinde karşı tarafa giden ses daha başarılı /  müzik vs de daha kaliteli ses alabildiğimiz kesin ancak yaşadığım sorun iphone ile geç bağlanma hızı / kulak ucu uygunluk testlerinde ( her 3 tip silikon ile de ) uyumsuzluk ! İade ettim yenisini bekliyorum gelince yeni sonuçları yazarım,4,2020-01-25T17:02:22Z,emeğinize sağlık iki ekleme yapmak istiyorum önceki versiyona göre telefon görüşmesinde karşı tarafa giden ses başarılı müzik kaliteli ses alabildiğimiz kesin yaşadığım sor iphone geç bağlanma hızı kulak ucu uygunluk testlerinde her tip silikon uyumsuzluk iade ett yenisini bekliyorum gelince yeni sonuçları yazarım,0.3333333333333333,Olumlu,1
Dyson Supurge,YouTube,@Onur-mt4jz,"Aldıktan 1 ay sonra tekerleri hiçbir sebep yokken sadece süpürürken kırıldı kırmızı  lastikleri hemen çıktı, aradık  tekerler kırıldı dedik, sağolsunlar hemen gönderdiler, gönderdiler ama yeni başlıktaki tekerlerde hemen kırıldı şimdi arıyoruz diyolarki yeni başlığı parayla gönderebiliriz. Yahu ben başlık istemiyorum diyorum sağlam teker takın tamir edin gönderin diyorum, kesinlikle yardımcı olmuyorlar.  Ciddi manada teker plastiklerinde ciddi kronik problem var, kendileri de üzgün ama kesinlikle mağdur ettiler. Şu an kullanamıyoruz öyle duruyor yani. Hayır biliyorlar kronik sıkıntı olduğunu maddm sağlam teker tak tamir et gönder. Yeni başlık ücretli falan istrmiyorum diyorum. Müşteri hizmetleri de üzgün şekilde susuyor. Ee bizde üzüldük.",0,2025-03-04T10:48:08Z,aldıktan sonra tekerleri hiçbir sebep yokken sadece süpürürken kırıldı kırmızı lastikleri hemen çıktı aradık teker kırıldı dedik sağolsun hemen gönderdi gönderdi yeni başlıktaki tekerlerde hemen kırıldı şimdi arıyoruz diyolarki yeni başlığı parayla gönderebiliriz yahu başlık istemiyorum diyorum sağlam teker takın tamir edin gönderin diyorum kesinlikle yardımcı olmuyor ciddi manada teker plastiklerinde ciddi kronik problem kendileri üzg kesinlikle mağdur etti kullanamıyoruz öyle duruyor yani hayır biliyor kronik sıkıntı olduğunu maddm sağlam teker tak tamir gönder yeni başlık ücretli falan istrmiyorum diyorum müşteri hizmetleri üzg şekilde susuyor bizde üzüldük,1.0,Olumlu,1
Samsung S24,YouTube,@BeratY1881,"Kamera dedin ya
Biraz inandırıcılığını kaybettin.
Böyle bir lansmana Böyle  bir ṣaṣa ya yakışmayacak kamera performansı.
S23fe ye anca yaklaṣabilir!
9 martan beri s24+ kullanıyorum 
Kamera hariç! mükemmel telefon.
Gece çekimleri ve düşük ışıkta büyüsü gidiyor",1,2024-07-17T19:34:59Z,kamera dedin biraz inandırıcılığını kaybettin lansmana ṣaṣa yakışmayacak kamera performansı sfe anca yaklaṣabilir martan beri kullanıyorum kamera hariç mükemmel telefon gece çekimleri düşük ışıkta büyüsü gidiyor,1.0,Olumlu,1
Samsung S24,YouTube,@ilknur5444,"Galaxy S24 , 
Xiaomi 14T
İphone 13 
Arasında kaldim kamera ve video olarak hangisi en iyi",1,2025-02-02T12:18:26Z,galaxy xiao iphone arasında kald kamera video olarak hangisi iyi,1.0,Olumlu,1
AirPods Pro,YouTube,@BalıkTufanı,Cok iyi kanalsin beee,1,2021-04-28T18:46:36Z,cok iyi kanal beee,1.0,Olumlu,1
iPhone 15,YouTube,@TALHAAYDINN,Abi selam samsung a04s ten gecicem ve uzun vadeli yani 5-6 yil kullanmayi hedefledigim bi telefon olucak 13 mü almayliyim yoksa 15 mi benim aklim 15 e daha fazla yatti hem yeni telefon ve islemci ram + 48 mp kamerasi olmasi zaten kullandigim telefon ona göre baya kötü sen hangisini önerirdin,1,2025-01-21T22:16:48Z,abi selam samsung ten gecicem uzun vadeli yani yil kullanmayi hedefledig telefon olucak almayliy yoksa ben akl fazla yatti hem yeni telefon islemci ram kamerasi olmasi zaten kullandig telefon ona göre baya kötü hangisini önerirdin,-1.0,Olumsuz,0
AirPods Pro,YouTube,@haticeyildiz188,"Selam Alp Beyefendi, gerçekten sizi dinleyerek harika bilgiler edindim ve İpone11 Telefon almaya karar verdim, araştırdım ve sizi de youtubede keşfettim benim telefon henüz elime ulaşmadı Arçelik Bayımden alcam kargoda bilgim var  bugün Pazar Pazartesi sonrası  büyük ihtimal elimde olur tabii ki memnun kalacağıma inanıyorum, değerli bilgileriniz için sonsuz teşekkürler emeğinize sağlık, kaliteye para ödemek değer diye inanırım hep saygıyla Hatice",1,2020-01-26T15:11:03Z,selam alp beyefendi gerçekten sizi dinleyerek harika bilgi edind ipone telefon almaya karar verd araştırdım sizi youtubede keşfett ben telefon henüz elime ulaşmadı arçelik bayım alcam kargoda bilg bug pazar pazartesi sonrası büyük ihtimal elimde olur tabii memn kalacağıma inanıyorum değerli bilgileriniz sonsuz teşekkür emeğinize sağlık kaliteye para ödemek değer inanırım hep saygıyla hatice,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_67416, Kablosuz süpürgeler benim gozum de balon elimde 3kg lik süpürge ile mi yerleri koltukları arabayı süpürmesi kolay yoksa normal supurgenin maksimum yarım kg olan supurme başlığı ile süpürmek mi kolay kaliteli süpürge istiyorsanız miele nin elektirikli süpürgelerine bakın illa k...,37,2024-01-05T22:40:31Z,kablosuz süpürge ben gozum balon elimde lik süpürge yerleri koltukları arabayı süpürmesi kolay yoksa normal supurge maksimum yarım olan supurme başlığı süpürmek kolay kaliteli süpürge istiyorsanız miele nin elektirikli süpürgelerine bakın illa,1.0,Olumlu,1
iPhone 15,YouTube,@ismailerdogmus5278,Enes bey kaliteli içerikleriniz için teşekkürler sorum şu 3 günlük iphone 15 cihazımda medya müzik dinlerken son seste minimal seviyede cızırtı oluyor sizde de mevcut mu bu durum acaba.,0,2024-02-08T13:37:14Z,enes bey kaliteli içerikleriniz teşekkür sorum günlük iphone cihazımda medya müzik dinlerken son seste minimal seviyede cızırtı oluyor sizde mevcut durum acaba,1.0,Olumlu,1
Dyson Supurge,YouTube,@elifhafsa5962,Harika bir makine 5 aydır benimle iyi ki benimle 🥰,4,2024-02-12T22:12:56Z,harika makine aydır benimle iyi benimle,1.0,Olumlu,1
Samsung S24,Instagram (Simulated),insta_user_5698,"🙌 Çok ısınıyorrrrr.... s 23  DAHA İYİ ,.. NET 👍👍 #teknoloji",394,2024-07-13T20:47:09Z,ısınıyorrrrr iyi net teknoloji,1.0,Olumlu,1
Dyson Supurge,YouTube,@mustafatemel1879,"Bizim Hatun, ev işlerini bana yüklediği için fazla yorulmamam banada Dyson aldı. Allah razı olsun Evi öyle güzel temizliyor ki; Hanımla olan ilişkimiz düzeldi 🙂",11,2024-03-20T17:15:55Z,biz hat işlerini yüklediği fazla yorulmamam banada dyson aldı allah razı ols evi öyle güzel temizliyor hanımla olan ilişkimiz düzeldi,1.0,Olumlu,1
Samsung S24,YouTube,@sedat-tr,S20 den s24 e zıpladım harika,0,2025-03-23T16:35:04Z,den zıpladım harika,1.0,Olumlu,1
Dyson Supurge,YouTube,@huseyindeniz4033,"....gelelim esas konuya..!!!

   Bu süpürgeyi alma şansım yok, bilgi amsçlı videoyu izledim, video akıcı sıkılmadan izledim...

  Eksikler;  bu alet şarzlı, güzel peki kablosu var mı kablo ile kullanması yoksa ne olur!?!?

 Bu gibi şarzlı aletlerin bataryaları kısa zaman sonra özelliğini kaybetiyor yenisini almaya kalktığında tekrar aletin en az yarı parasını vermek zorunda kalıyorsun, bunu da dile getirirse iyi olur..🔥",1,2024-02-28T22:11:55Z,gelel esas konuya süpürgeyi alma şansım bilgi amsçlı videoyu izled video akıcı sıkılma izled eksik alet şarzlı güzel peki kablosu kablo kullanması yoksa olur şarzlı aletlerin bataryaları kısa zaman sonra özelliğini kaybetiyor yenisini almaya kalktığında tekrar aletin yarı parasını vermek zorunda kalıyors bunu dile getirirse iyi olur,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_84520,@Webtekno 1 yıl sonra hala 28 bin lira ama yine de pahalı.. Teşekkürler,21,2025-11-28T08:56:44Z,webtekno yıl sonra hala bin lira pahalı teşekkür,-1.0,Olumsuz,0
Samsung S24,YouTube,@alphwolfy2028,S24 mü ip15 mi sizce  samsung faniyimdir ama  iphonede önyargım hiç olmadi  iphone şanş vermelimiyim sicze evet s24 bariz farkla  ip15 den iyi ama kararsiz kaldım,1,2024-11-03T06:57:42Z,sizce samsung faniyimdir iphonede önyargım hiç olmadi iphone şanş vermelimiy sicze evet bariz farkla den iyi kararsiz kaldım,1.0,Olumlu,1
iPhone 15,YouTube,@huseyinarslan1320,İphone 15 kullanicisiyim pubgda aniden donuyor kasiyor neden olabilir telefondan dolayimidir yoksa oyunun optimizasyonundan midir telwfondan subhe etmeye basladim,0,2024-04-20T16:17:28Z,iphone kullanicisiy pubgda ani donuyor kasiyor neden olabilir telefon dolayimidir yoksa oyun optimizasyonun midir telwfon subhe etmeye baslad,-1.0,Olumsuz,0
MacBook Air,YouTube,@v1cras,"Batarya + kamera + hoparlör  konusunda macbook her zaman daha iyi.
m4 işlemci ile yapabildiği işlemlerin aynısını yapabilen PC ler çok daha pahalı. O yüzden Macbook bana kalırsa kesinlikle fiyat performans ürünleri.

Ekran tazeleme hızına gelince, 120 hz olursa batarya konusunda büyük düşüş olur. İzlediğimiz videoların da 60 hz olduğunu düşünür ve oyun da oynamadığımızı düşünürsek bence yine 60 hz kalması daha mantıklı. 

Macbook kesinlikle her konuda fiyat performans ürünü. 
Ram yükseltmesi falan yapılamadığı için eleştiriliyor ama PC ye göre Macbook her zaman daha uzun ömürlüdür. Kırılma ya da arıza durumunda masrafının PC ye göre daha yüksek olması kötü maalesef.",0,2025-11-19T13:08:51Z,batarya kamera hoparlör konusunda macbook her zaman iyi işlemci yapabildiği işlemlerin aynısını yapabilen ler pahalı yüz macbook kalırsa kesinlikle fiyat performans ürünleri ekran tazeleme hızına gelince olursa batarya konusunda büyük düşüş olur izlediğimiz videoların olduğunu düşünür oyun oynamadığımızı düşünürsek bence kalması mantıklı macbook kesinlikle her konuda fiyat performans ürünü ram yükseltmesi falan yapılamadığı eleştiriliyor göre macbook her zaman uzun ömürlüdür kırılma arıza durumunda masrafı göre yüksek olması kötü maalesef,-0.3333333333333333,Olumsuz,0
Dyson Supurge,Instagram (Simulated),insta_user_3451,"😍 Mercan bey bu güzel video içini teşekkür ederim,bir sorum olacaktı dysonın tuttuğunuz büyük motor... #fiyatperformans",453,2024-02-25T14:46:52Z,mercan bey güzel video içini teşekkür ederimbir sorum olacaktı dyso tuttuğunuz büyük motor fiyatperformans,1.0,Olumlu,1
